Longueur des registres (MAXLEN) : 64, en octet (sizeof) : 8 
position 0 : 56,  longueur : 8
  0) registre :       80, poly :       71, bit : 0
  1) registre :       40, poly :       71, bit : 0
  2) registre :       a0, poly :       71, bit : 0
  3) registre :       d0, poly :       71, bit : 0
  4) registre :       68, poly :       71, bit : 0
  5) registre :       34, poly :       71, bit : 0
  6) registre :       1a, poly :       71, bit : 0
  7) registre :       8d, poly :       71, bit : 1
  8) registre :       c6, poly :       71, bit : 0
  9) registre :       e3, poly :       71, bit : 1
 10) registre :       f1, poly :       71, bit : 1
 11) registre :       78, poly :       71, bit : 0
 12) registre :       bc, poly :       71, bit : 0
 13) registre :       5e, poly :       71, bit : 0
 14) registre :       2f, poly :       71, bit : 1
 15) registre :       17, poly :       71, bit : 1
 16) registre :        b, poly :       71, bit : 1
 17) registre :       85, poly :       71, bit : 1
 18) registre :       c2, poly :       71, bit : 0
 19) registre :       e1, poly :       71, bit : 1
 20) registre :       f0, poly :       71, bit : 0
 21) registre :       f8, poly :       71, bit : 0
 22) registre :       fc, poly :       71, bit : 0
 23) registre :       fe, poly :       71, bit : 0
 24) registre :       ff, poly :       71, bit : 1
 25) registre :       7f, poly :       71, bit : 1
 26) registre :       3f, poly :       71, bit : 1
 27) registre :       9f, poly :       71, bit : 1
 28) registre :       4f, poly :       71, bit : 1
 29) registre :       27, poly :       71, bit : 1
 30) registre :       13, poly :       71, bit : 1
 31) registre :        9, poly :       71, bit : 1
 32) registre :       84, poly :       71, bit : 0
 33) registre :       42, poly :       71, bit : 0
 34) registre :       a1, poly :       71, bit : 1
 35) registre :       50, poly :       71, bit : 0
 36) registre :       28, poly :       71, bit : 0
 37) registre :       94, poly :       71, bit : 0
 38) registre :       ca, poly :       71, bit : 0
 39) registre :       e5, poly :       71, bit : 1
 40) registre :       f2, poly :       71, bit : 0
 41) registre :       f9, poly :       71, bit : 1
 42) registre :       7c, poly :       71, bit : 0
 43) registre :       be, poly :       71, bit : 0
 44) registre :       5f, poly :       71, bit : 1
 45) registre :       af, poly :       71, bit : 1
 46) registre :       57, poly :       71, bit : 1
 47) registre :       ab, poly :       71, bit : 1
 48) registre :       55, poly :       71, bit : 1
 49) registre :       aa, poly :       71, bit : 0
 50) registre :       d5, poly :       71, bit : 1
 51) registre :       ea, poly :       71, bit : 0
 52) registre :       75, poly :       71, bit : 1
 53) registre :       3a, poly :       71, bit : 0
 54) registre :       1d, poly :       71, bit : 1
 55) registre :        e, poly :       71, bit : 0
 56) registre :        7, poly :       71, bit : 1
 57) registre :       83, poly :       71, bit : 1
 58) registre :       c1, poly :       71, bit : 1
 59) registre :       60, poly :       71, bit : 0
 60) registre :       30, poly :       71, bit : 0
 61) registre :       18, poly :       71, bit : 0
 62) registre :       8c, poly :       71, bit : 0
 63) registre :       46, poly :       71, bit : 0
 64) registre :       a3, poly :       71, bit : 1
